Topic,Count,Name,Representation,Representative_Docs
-1,45,-1_negara_dan_korupsi_ketentuan,"['negara', 'dan', 'korupsi', 'ketentuan', 'pidana', 'pemberantasan', 'pada', 'komisi', 'yang', 'sebagaimana']","['(1) Penyidik Komisi Pemberantasan Korupsi dapat\nberasal dari kepolisian, kejaksaan, penyidik\npegawai negeri sipil yang diberi wewenang khusus\noleh undang-undang, dan penyelidik Komisi\nPemberantasan Korupsi.\n(2) Penyidik sebagaimana dimaksud pada ayat (1)\ndiangkat dan diberhentikan oleh Pimpinan Komisi\nPemberantasan Korupsi.\n(3) Penyidik sebagaimana dimaksud pada ayat (1)\ndan ayat (2) wajib tunduk pada mekanisme\npenyidikan yang diatur berdasarkan ketentuan\nhukum acara pidana.\n(4) Penyidik sebagaimana dimaksud pada ayat (1)\ndan ayat (2) wajib mempunyai standar\nkompetensi yang sama.\n32. Di antara', '(1) Penyelidik Komisi Pemberantasan Korupsi harus\nmemenuhi persyaratan sebagai berikut:\na. berpendidikan paling rendah S1 (sarjana\nstrata satu) atau yang setara;\nb. mengikuti dan lulus pendidikan di bidang\npenyelidikan;\nc. sehat jasmani dan rohani yang dibuktikan\ndengan surat keterangan dokter; dan\nd. memiliki kemampuan dan integritas moral\nyang tinggi.\n(2) Persyaratan sebagaimana dimaksud pada ayat (1)\nhuruf b diselenggarakan oleh Komisi\nPemberantasan Korupsi bekerja sama dengan\nkepolisian dan/atau kejaksaan.\n(3) Penyelidik Komisi Pemberantasan Korupsi\nsebagaimana dimaksud pada ayat (1)\ndiberhentikan dari jabatannya apabila:\nwww.peraturan.go.id\n2019, No. 197\n-26-\na. diberhentikan sebagai aparatur sipil negara;\nb. tidak lagi bertugas di bidang teknis\npenegakan hukum; atau\nc. permintaan sendiri secara tertulis.\n(4) Ketentuan lebih lanjut mengenai tata cara\npengangkatan dan pemberhentian penyelidik\nKomisi Pemberantasan Korupsi sebagaimana\ndimaksud pada ayat (1) dan ayat (3) diatur dalam\n', '(1) Penyidik Komisi Pemberantasan Korupsi harus\nmemenuhi persyaratan sebagai berikut:\nwww.peraturan.go.id\n2019, No. 197\n-27-\na. berpendidikan paling rendah S1 (sarjana\nstrata satu) atau yang setara;\nb. mengikuti dan lulus pendidikan di bidang\npenyidikan;\nc. sehat jasmani dan rohani yang dibuktikan\ndengan surat keterangan dokter; dan\nd. memiliki kemampuan dan integritas moral\nyang tinggi.\n(2) Persyaratan sebagaimana dimaksud pada ayat (1)\nhuruf b diselenggarakan oleh Komisi\nPemberantasan Korupsi bekerja sama dengan\nkepolisian dan/atau kejaksaan.\n(3) Penyidik Komisi Pemberantasan Korupsi\nsebagaimana dimaksud pada ayat (1)\ndiberhentikan dari jabatannya karena:\na. diberhentikan sebagai aparatur sipil negara;\nb. tidak lagi bertugas di bidang teknis\npenegakan hukum; atau\nc. permintaan sendiri secara tertulis.\n(4) Ketentuan lebih lanjut mengenai tata cara\npengangkatan penyidik Komisi Pemberantasan\nKorupsi sebagaimana dimaksud pada ayat (1) dan\nayat (3) diatur dalam Peraturan Komisi\nPemberanta']"
0,67,0_yang_korupsi_atau_tindak,"['yang', 'korupsi', 'atau', 'tindak', 'dan', 'dalam', 'pidana', 'dengan', 'pemberantasan', 'dimaksud']","['huruf b, Komisi Pemberantasan Korupsi berwenang\nmelakukan pengawasan, penelitian, atau penelaahan terhadap\ninstansi yang menjalankan tugas dan wewenangnya yang berkaitan\ndengan pemberantasan tindak pidana korupsi, dan instansi yang\ndalam melaksanakan pelayanan publik.\n(2) Dalam melaksanakan wewenang sebagaimana dimaksud pada ayat\n(1), Komisi Pemberantasan Korupsi berwenang juga mengambil\nalih penyidikan atau penuntutan terhadap pelaku tindak pidana\nkorupsi yang sedang dilakukan oleh kepolisian atau kejaksaan.\n(3) Dalam hal Komisi Pemberantasan Korupsi mengambil alih\npenyidikan atau penuntutan, kepolisian atau kejaksaan wajib\nmenyerahkan tersangka dan seluruh berkas perkara beserta alat\nbukti dan dokumen lain yang diperlukan dalam waktu paling lama\n14 (empat belas) hari kerja, terhitung sejak tanggal diterimanya\npermintaan Komisi Pemberantasan Korupsi.\n(4) Penyerahan sebagaimana dimaksud pada ayat (3) dilakukan dengan\nmembuat dan menandatangani berita acara penyerahan sehingga\nsegala tu', '(1) Terdakwa mempunyai hak untuk membuktikan bahwa ia tidak\nmelakukan tindak pidana korupsi.\n(2) Dalam hal terdakwa dapat membuktikan bahwa ia tidak melakukan\ntindak pidana korupsi, maka keterangan tersebut dipergunakan\nsebagai hal yang menguntungkan baginya.\n(3) Terdakwa wajib memberikan keterangan tentang seluruh harta\nbendanya dan harta benda istri atau suami, anak, dan harta benda\nsetiap orang atau korporasi yang diduga mempunyai hubungan\ndengan perkara yang bersangkutan.\n(4) Dalam hal terdakwa tidak dapat membuktikan tentang kekayaan\nyang tidak seimbang dengan penghasilannya atau sumber penambah\nkekayaannya , maka keterangan tersebut dapat digunakan untuk\nmemperkuat alat bukti yang sudah ada bahwa terdakwa telah\nmelakukan tindak pidana korupsi.\n(5) Dalam keadaan sebagaimana dimaksud dalam ayat (1), ayat (2), ayat\n(3), dan ayat (4), penuntut umum tetap berkewajiban untuk\nmembuktikan dakwaannya.\nPRESIDEN\nREPUBLIK INDONESIA\n- 12 -', 'huruf e, Komisi\nPemberantasan Korupsi berwenang melakukan\npenyelidikan, penyidikan, dan penuntutan\nterhadap Tindak Pidana Korupsi yang:\na. melibatkan aparat penegak hukum,\nPenyelenggara Negara, dan orang lain yang\nada kaitannya dengan Tindak Pidana\nKorupsi yang dilakukan oleh aparat penegak\nhukum atau Penyelenggara Negara;\ndan/atau\nb. menyangkut kerugian negara paling sedikit\nRp1.000.000.000,00 (satu milyar rupiah).\n(2) Dalam hal Tindak Pidana Korupsi tidak\nmemenuhi ketentuan sebagaimana dimaksud\npada ayat (1), Komisi Pemberantasan Korupsi\nwajib menyerahkan penyelidikan, penyidikan,\ndan penuntutan kepada kepolisian dan/atau\nkejaksaan.\n(3) Komisi Pemberantasan Korupsi melakukan\nsupervisi terhadap penyelidikan, penyidikan,\ndan/atau penuntutan sebagaimana dimaksud\npada ayat (2).\nwww.peraturan.go.id\n2019, No. 197\n-11-\n11. Ketentuan']"
1,66,1_dalam_sebagaimana_dimaksud_setiap,"['dalam', 'sebagaimana', 'dimaksud', 'setiap', 'yang', 'orang', 'ketentuan', 'pidana', 'penyidikan', 'peradilan']","['Setiap orang yang melakukan tindak pidana sebagaimana dimaksud\ndalam', 'Setiap orang yang melakukan tindak pidana sebagaimana dimaksud\ndalam', 'Setiap orang yang melakukan tindak pidana sebagaimana dimaksud\ndalam']"
2,23,2_jelas_cukup_ayat_huruf,"['jelas', 'cukup', 'ayat', 'huruf', 'yang', 'dimaksudkan', 'untuk', 'dengan', 'ketentuan', 'dapat']","['Ayat (1)\nhuruf a\nCukup jelas\nhuruf b\nCukup jelas\nhuruf c\nYang dimaksud dengan ""penutupan seluruh atau sebagian perusahaan""\nadalah pencabutan izin usaha atau penghentian kegiatan untuk sementara\nwaktu sesuai dengan putusan pengadilan.\nhuruf d\nCukup jelas\nAyat (2)\nCukup jelas\nAyat (3)\nCukup jelas', 'Ayat (1)\nYang dimaksud dengan ""pengurus"" adalah organ korporasi yang menjalankan\nkepengurusan korporasi yang bersangkutan sesuai dengan anggaran dasar,\ntermasuk mereka yang dalam kenyataannya memiliki kewenangan dan ikut\nmemutuskan kebijakan korporasi yang dapat dikualifikasikan sebagai tindak\npidana korupsi.\nAyat (2)\nCukup jelas\nAyat (3)\nCukup jelas\nAyat (4)\nCukup jelas\nPRESIDEN\nREPUBLIK INDONESIA\n- 6 -\nAyat (4)\nCukup jelas\nAyat (5)\nCukup jelas\nAyat (6)\nCukup jelas\nAyat (7)\nCukup jelas', 'Ayat (1)\nKetentuan dalam pasal ini dimaksudkan untuk meningkatkan efektifitas\npencegahan dan pemberantasan tindak pidana korupsi.\nAyat (2)\nHuruf a\nCukup jelas\nHuruf b\nCukup jelas\nHuruf c\nCukup jelas\nHuruf d\nCukup jelas\nHuruf e\nPerlindungan hukum terhadap pelapor dimaksudkan untuk memberikan\nrasa aman bagi pelapor yang dilaksanakan sesuai dengan ketentuan\nperaturan perundang-undangan.\nAyat (3)\nCukup jelas\nAyat (4)\nCukup jelas\nAyat (5)\nCukup jelas']"
3,17,3_indonesia_republik_presiden_jakarta,"['indonesia', 'republik', 'presiden', 'jakarta', 'tanggal', 'ttd', 'di', 'negara', 'pada', 'diundangkan']","['Undang-Undang ini mulai berlaku pada tanggal diundangkan.\nAgar . . .\n- 3 -\nAgar setiap orang mengetahuinya, memerintahkan\npengundangan Undang-Undang ini dengan penempatannya\ndalam Lembaran Negara Republik Indonesia.\nDisahkan di Jakarta\npada tanggal 18 April 2006\nPRESIDEN REPUBLIK INDONESIA,\nttd\nDR. H. SUSILO BAMBANG YUDHOYONO\nDiundangkan di Jakarta\npada tanggal 18 April 2006\nMENTERI HUKUM DAN HAK ASASI MANUSIA\nREPUBLIK INDONESIA,\nttd\nHAMID AWALUDIN\nLEMBARAN NEGARA REPUBLIK INDONESIA TAHUN 2006 NOMOR 32\nSalinan sesuai dengan aslinya\nSEKRETARIAT NEGARA RI\nKepala Biro Hukum dan Administrasi\nPeraturan Perundang-undangan,\nZULFIAN LUBIS\nPENJELASAN\nATAS\nUNDANG-UNDANG REPUBLIK INDONESIA\nNOMOR 7 TAHUN 2006\nTENTANG\nPENGESAHAN UNITED NATlONS CONVENTION AGAINST CORRUPTION, 2003\n(KONVENSI PERSERIKATAN BANGSA-BANGSA ANTI KORUPSI, 2003)\nI. UMUM\nTindak pidana korupsi merupakan ancaman terhadap prinsip-prinsip\ndemokrasi, yang menjunjung tinggi transparansi, akuntabilitas, dan\nintegritas, serta keamanan', 'Undang-undang ini mulai berlaku pada tanggal diundangkan.\nAgar setiap orang mengetahuinya, memerintahkan pengundangan\nUndang-undang ini dengan penempatannya dalam Lembaran Negara\nRepublik Indonesia.\nDisahkan di Jakarta\nPRESIDEN\nREPUBLIK INDONESIA\n- 15 -\npada tanggal 16 Agustus 1999\nPRESIDEN REPUBLIK INDONESIA\nttd.\nBACHARUDDIN JUSUF HABIBIE\nDisahkan di Jakarta\npada tanggal 16 Agustus 1999\nMENTERI NEGARA SEKRETARIAT NEGARA\nREPUBLIK INDONESIA,\nttd.\nMULADI\nLEMBARAN NEGARA REPUBLIK INDONESIA TAHUN 1999 NOMOR 140.\nPRESIDEN\nREPUBLIK INDONESIA\nPENJELASAN\nATAS\nUNDANG-UNDANG REPUBLIK INDONESIA\nNOMOR 31 TAHUN 1999\nTENTANG\nPEMBERANTASAN TINDAK PIDANA KORUPSI\nI. UMUM\nPembangunan Nasional bertujuan mewujudkan manusia Indonesia seutuhnya dan\nmasyarakat Indonesia seluruhnya yang adil, makmur, sejahtera, dan tertib\nberdasarkan Pancasila dan Undang-Undang Dasar 1945. Untuk mewujudkan\nmasyarakat Indonesia yang adil, makmur, dan sejahtera tersebut, perlu secara terus\nmenerus ditingkatkan usaha-usaha pence', 'Undang-Undang ini mulai berlaku pada tanggal diundangkan.\nAgar...\nAgar setiap orang mengetahuinya, memerintahkan pengundangan\nUndang-Undang ini dengan penempatannya dalam Lembaran Negara\nRepublik Indonesia.\nDisahkan di Jakarta\npada tanggal 27 Desember 2002\nPRESIDEN REPUBLIK INDONESIA,\nttd.\nMEGAWATI SOEKARNOPUTRI\nDiundangkan di Jakarta\npada tanggal 27 Desember 2002\nSEKRETARIS NEGARA REPUBLIK INDONESIA,\nttd.\nBAMBANG KESOWO\nLEMBARAN NEGARA REPUBLIK INDONESIA TAHUN 2002 NOMOR 137\nPRESIDEN\nREPUBLIKINDONESIA\nPENJELASAN\nATAS\nUNDANG-UNDANG REPUBLIK INDONESIA\nNOMOR 30 TAHUN 2002\nTENTANG\nKOMISI PEMBERANTASAN TINDAK PIDANA KORUPSI\nI. UMUM\nTindak pidana korupsi di Indonesia sudah meluas dalam masyarakat.\nPerkembangannya terus meningkat dari tahun ke tahun, baik dari jumlah kasus\nyang terjadi dan jumlah kerugian keuangan negara maupun dari segi kualitas\ntindak pidana yang dilakukan semakin sistematis serta lingkupnya yang memasuki\nseluruh aspek kehidupan masyarakat.\nMeningkatnya tindak pidana korup']"
4,14,4_paling_rupiah_juta_rp,"['paling', 'rupiah', 'juta', 'rp', 'lima', 'banyak', 'ratus', 'penjara', 'dipidana', 'denda']","['Kitab Undang-undang Hukum Pidana, dipidana\ndengan pidana penjara paling singkat 2 (dua) tahun dan paling lama 7\n(tujuh) tahun dan denda paling sedikit Rp 100.000.000,00 (seratus juta\nrupiah) dan paling banyak 350.000.000,00 (tiga ratus lima puluh juta\nrupiah).', 'Kitab Undang-undang Hukum Pidana, dipidana\ndengan pidana penjara paling singkat 3 (tiga) tahun dan paling lama 15\n(lima belas) tahun dan denda paling sedikit Rp 150.000.000,00 (seratus\nlima puluh juta rupiah) dan paling banyak Rp. 750.000.000,00 (tujuh\nratus lima puluh juta rupiah).', 'angka 4\ndipidana dengan pidana penjara paling singkat 2 (dua) tahun dan paling\nlama 12 (dua belas) tahun dan denda paling sedikit Rp. 200.000.000,-\n(dua ratus juta rupiah) dan paling banyak Rp. 1.000.000.000,- (satu\nmilyar rupiah).']"
5,11,5_korupsi_pemberantasan_tindak_komisi,"['korupsi', 'pemberantasan', 'tindak', 'komisi', 'pidana', 'berwenang', 'dibentuk', 'instansi', 'melakukan', 'kepala']","['Komisi Pemberantasan Korupsi mempunyai tugas:\na. koordinasi dengan instansi yang berwenang melakukan pemberantasan\ntindak pidana korupsi;\nb. supervisi terhadap instansi yang berwenang melakukan pemberantasan\ntindak pidana korupsi;\nc. melakukan penyelidikan, penyidikan, dan penuntutan terhadap tindak\npidana korupsi;\nd. melakukan tindakan-tindakan pencegahan tindak pidana korupsi; dan\ne. melakukan monitor terhadap penyelenggaraan pemerintahan negara.\nPRESIDEN\nREPUBLIKINDONESIA\n- 4 -', '(1) Komisi Pemberantasan Korupsi:\na. menetapkan kebijakan dan tata kerja organisasi mengenai\nPRESIDEN\nREPUBLIKINDONESIA\n- 11 -\npelaksanaan tugas dan wewenang Komisi Pemberantasan\nKorupsi;\nb. mengangkat dan memberhentikan Kepala Bidang, Kepala\nSekretariat, Kepala Subbidang, dan pegawai yang bertugas pada\nKomisi Pemberantasan Korupsi;\nc. menentukan kriteria penanganan tindak pidana korupsi.\n(2) Ketentuan...\n(2) Ketentuan mengenai prosedur tata kerja Komisi Pemberantasan\nKorupsi diatur lebih lanjut dengan Keputusan Komisi\nPemberantasan Korupsi.', 'huruf a, Komisi Pemberantasan Korupsi berwenang :\na. mengkoordinasikan penyelidikan, penyidikan, dan penuntutan tindak\npidana korupsi;\nb. menetapkan sistem pelaporan dalam kegiatan pemberantasan tindak\npidana korupsi;\nc. meminta informasi tentang kegiatan pemberantasan tindak pidana\nkorupsi kepada instansi yang terkait;\nd. melaksanakan dengar pendapat atau pertemuan dengan instansi yang\nberwenang melakukan pemberantasan tindak pidana korupsi; dan\ne. meminta laporan instansi terkait mengenai pencegahan tindak pidana\nkorupsi.']"
6,10,6_tentang_undangundang_1981_acara,"['tentang', 'undangundang', '1981', 'acara', 'indonesia', 'republik', 'nomor', 'rakyat', 'ketetapan', 'permusyawaratan']","['ayat (1) dan ayat (2) Undang-undang\nNomor 8 Tahun 1981 tentang Hukum Acara Pidana.\nPRESIDEN\nREPUBLIK INDONESIA\n- 8 -', 'ayat (1) Undang-Undang Dasar 1945;\n2. Ketetapan Majelis Permusyawaratan Rakyat Republik Indonesia\nNomor XI/MPR/1998 tentang Penyelenggara Negara yang Bersih\ndan Bebas Korupsi, Kolusi, dan Nepotisme;\nDengan Persetujuan\nDEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIA\nMEMUTUSKAN :\nMenetapkan : UNDANG-UNDANG TENTANG PEMBERANTASAN TINDAK\nPIDANA KORUPSI.\nPRESIDEN\nREPUBLIK INDONESIA\n- 2 -\nBAB I\nKETENTUAN UMUM', 'ayat (1) Undang-Undang Dasar 1945;\n2. Ketetapan Majelis Permusyawaratan Rakyat Republik Indonesia\nNomor XI/MPR/1998 tentang Penyelenggara Negara yang Bersih\ndan Bebas Korupsi, Kolusi dan Nepotisme.\nDengan persetujuan\nDEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIA\nMEMUTUSKAN :\nPRESIDEN\nREPUBLIK INDONESIA\n- 2 -\nMenetapkan : UNDANG-UNDANG TENTANG PENYELENGGARA NEGARA\nYANG BERSIH DAN BEBAS DARI KORUPSI, KOLUSI DAN\nNEPOTISME.\nBAB I\nKETENTUAN UMUM']"
7,8,7_melaksanakan_tugas_dalam_monitor,"['melaksanakan', 'tugas', 'dalam', 'monitor', 'sebagaimana', 'dimaksud', 'koordinasi', 'penetapan', 'pencegahan', 'putusan']","['Dalam melaksanakan tugas koordinasi sebagaimana dimaksud dalam', 'Dalam melaksanakan tugas penuntutan sebagaimana\ndimaksud dalam', 'Dalam melaksanakan tugas sebagaimana dimaksud dalam']"
8,7,8_wewenangnya_kekuasaan_tugas_lembaga,"['wewenangnya', 'kekuasaan', 'tugas', 'lembaga', 'manapun', 'pengaruh', 'independen', 'eksekutif', 'berasaskan', 'bebas']","['Yang dimaksud dengan ""lembaga independen"" dalam Pasal ini adalah lembaga\nyang dalam melaksanakan tugas dan wewenangnya bebas dari pengaruh\nkekuasaan eksekutif, legislatif, yudikatif, dan lembaga negara lainnya.', 'Komisi Pemberantasan Korupsi adalah lembaga negara yang dalam\nmelaksanakan tugas dan wewenangnya bersifat independen dan bebas\ndari pengaruh kekuasaan manapun.', 'Komisi Pemberantasan Korupsi adalah lembaga\nnegara dalam rumpun kekuasaan eksekutif yang\ndalam melaksanakan tugas dan wewenangnya\nbersifat independen dan bebas dari pengaruh\nkekuasaan manapun.\n3. Ketentuan']"
