uncac_article,uncac_preview,padanan_terbaik,similarity,status,emoji
Article 1,"Statement of purpose
The purposes of this Convention are:
(a) To promote and strengthen measures to ...",UU_30_2002 Pasal 5,0.6805,Diadopsi Sebagian,🟡
Article 2,"Use of terms
For the purposes of this Convention:
(a) Public official shall mean: (i) any person hol...",UU_31_1999 Pasal 1,0.736,Diadopsi Sebagian,🟡
Article 3,"Scope of application
1. This Convention shall apply, in accordance with its terms, to the
prevention...",UU_19_2019 Pasal 1,0.6837,Diadopsi Sebagian,🟡
Article 4,"Protection of sovereignty
1. States Parties shall carry out their obligations under this Convention
...",UU_28_1999 Pasal 1,0.6917,Diadopsi Sebagian,🟡
Article 5,"Preventive anti-corruption policies and practices
1. Each State Party shall, in accordance with the ...",UU_28_1999 Pasal 1,0.7053,Diadopsi Sebagian,🟡
Article 6,"Preventive anti-corruption body or bodies
1. Each State Party shall, in accordance with the fundamen...",UU_30_2002 Pasal 6,0.6831,Diadopsi Sebagian,🟡
Article 7,"Public sector
1. Each State Party shall, where appropriate and in accordance with the
fundamental pr...",UU_30_2002 Pasal 5,0.7065,Diadopsi Sebagian,🟡
Article 8,"Codes of conduct for public officials
1. In order to fight corruption, each State Party shall promot...",UU_28_1999 Pasal 1,0.7323,Diadopsi Sebagian,🟡
Article 9,"Public procurement and management
of public finances
1. Each State Party shall, in accordance with t...",UU_31_1999 Pasal 41,0.6676,Diadopsi Sebagian,🟡
Article 10,"Public reporting
Taking into account the need to combat corruption, each State Party shall,
in accor...",UU_30_2002 Pasal 5,0.7133,Diadopsi Sebagian,🟡
Article 11,"Measures relating to the judiciary
and prosecution services
1. Bearing in mind the independence of t...",UU_19_2019 Pasal 1,0.6508,Diadopsi Sebagian,🟡
Article 12,"Private sector
1. Each State Party shall take measures, in accordance with the funda-
mental princip...",UU_28_1999 Pasal 1,0.6969,Diadopsi Sebagian,🟡
Article 13,"Participation of society
1. Each State Party shall take appropriate measures, within its means and
i...",UU_31_1999 Pasal 41,0.756,Diadopsi Sebagian,🟡
Article 14,"Measures to prevent money-laundering
1. Each State Party shall:
(a) Institute a comprehensive domest...",UU_19_2019 Pasal 6,0.6982,Diadopsi Sebagian,🟡
Article 15,"Bribery of national public officials
Each State Party shall adopt such legislative and other measure...",UU_28_1999 Pasal 5,0.6958,Diadopsi Sebagian,🟡
Article 16,"Bribery of foreign public officials and officials
of public international organizations
1. Each Stat...",UU_28_1999 Pasal 1,0.7025,Diadopsi Sebagian,🟡
Article 17,"Embezzlement, misappropriation or
other diversion of property by a public official
Each State Party ...",UU_28_1999 Pasal 1,0.6896,Diadopsi Sebagian,🟡
Article 18,"Trading in influence
Each State Party shall consider adopting such legislative and other meas-
ures ...",UU_28_1999 Pasal 1,0.7156,Diadopsi Sebagian,🟡
Article 19,"Abuse of functions
Each State Party shall consider adopting such legislative and other meas-
ures as...",UU_28_1999 Pasal 1,0.6681,Diadopsi Sebagian,🟡
Article 20,"Illicit enrichment
Subject to its constitution and the fundamental principles of its legal sys-
tem,...",UU_28_1999 Pasal 1,0.5878,GAP - Belum Diadopsi,❌
Article 21,"Bribery in the private sector
Each State Party shall consider adopting such legislative and other me...",UU_19_2019 Pasal 6,0.7199,Diadopsi Sebagian,🟡
Article 22,"Embezzlement of property in the private sector
Each State Party shall consider adopting such legisla...",UU_28_1999 Pasal 1,0.638,GAP - Belum Diadopsi,❌
Article 23,"Laundering of proceeds of crime
1. Each State Party shall adopt, in accordance with fundamental prin...",UU_30_2002 Pasal 47,0.7066,Diadopsi Sebagian,🟡
Article 24,"Concealment
Without prejudice to the provisions of article 23 of this Convention, each
State Party s...",UU_20_2001 Pasal 12,0.6461,GAP - Belum Diadopsi,❌
Article 25,"Obstruction of justice
Each State Party shall adopt such legislative and other measures as may be
ne...",UU_28_1999 Pasal 8,0.705,Diadopsi Sebagian,🟡
